0.0V,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.4995V,196.00,196.00,196.00,196.00,196.00,196.00,196.00,196.00,196.00,196.00,196.00,196.00,196.00,196.00,197.00,197.00,
0.9995V,393.00,393.00,393.50,393.00,394.00,393.00,392.00,393.83,392.00,393.00,393.00,393.00,393.00,393.00,394.00,394.00,
1.4996V,590.00,591.00,591.00,591.00,591.67,591.00,590.00,591.83,590.00,591.00,591.00,590.00,591.00,591.00,592.00,592.00,
1.9991V,788.00,789.00,789.00,788.00,789.00,789.00,787.00,789.00,787.00,788.00,788.00,788.00,788.00,788.00,790.00,789.00,
2.4993V,985.00,986.17,987.00,986.00,987.00,987.00,984.00,987.00,984.50,986.00,986.00,985.00,986.00,986.00,988.00,987.00,
2.9991V,1183.00,1184.00,1185.00,1183.00,1185.00,1185.00,1182.00,1185.00,1182.00,1183.83,1183.00,1183.00,1184.00,1184.00,1186.00,1184.67,
3.499V,1380.00,1382.00,1382.17,1381.00,1383.00,1382.00,1379.00,1383.00,1379.00,1381.00,1381.00,1380.00,1381.50,1381.00,1383.50,1382.00,
3.9987V,1577.00,1579.00,1580.00,1578.00,1580.17,1580.00,1576.00,1581.00,1576.00,1579.00,1578.33,1578.00,1579.00,1579.00,1581.50,1580.00,
4.4984V,1774.67,1777.00,1778.00,1775.83,1778.00,1777.50,1773.00,1778.00,1773.83,1776.00,1776.00,1775.00,1777.00,1777.00,1779.00,1777.00,
4.9986V,1972.00,1975.00,1976.00,1973.67,1976.00,1975.67,1971.00,1976.17,1971.00,1974.00,1973.33,1973.00,1974.33,1974.00,1977.17,1975.00,
5.4983V,2169.33,2172.00,2173.50,2171.00,2174.00,2173.00,2168.00,2174.00,2168.00,2171.00,2171.00,2170.00,2172.00,2172.00,2175.00,2172.00,
5.998V,2367.00,2370.00,2371.00,2368.00,2371.67,2371.00,2365.00,2372.00,2365.00,2369.00,2368.00,2367.17,2369.33,2369.33,2373.00,2370.00,
6.4977V,2564.00,2567.67,2569.00,2566.00,2569.00,2569.00,2562.67,2570.00,2562.00,2566.00,2566.00,2565.00,2567.00,2567.00,2570.50,2567.50,
6.997V,2761.50,2765.00,2767.00,2763.17,2767.00,2766.00,2760.00,2767.50,2759.83,2764.00,2763.33,2762.00,2765.00,2765.00,2768.17,2765.00,
7.497V,2959.00,2963.00,2964.83,2961.00,2965.00,2964.00,2957.00,2965.83,2957.00,2962.00,2961.00,2960.00,2963.00,2962.33,2966.83,2963.00,
7.997V,3157.00,3160.83,3162.67,3158.83,3163.00,3162.00,3154.83,3163.83,3154.17,3159.83,3159.00,3157.17,3160.00,3160.00,3164.50,3161.00,
8.497V,3354.00,3358.50,3360.00,3356.17,3361.00,3360.00,3352.00,3361.33,3352.00,3357.00,3356.50,3355.00,3358.00,3358.00,3362.50,3358.50,
8.996V,3551.83,3556.00,3558.00,3554.00,3559.00,3557.67,3549.00,3559.00,3549.00,3555.00,3554.00,3552.33,3556.00,3555.50,3560.50,3556.00,
9.496V,3749.00,3754.00,3756.00,3751.50,3756.67,3755.17,3747.00,3757.17,3746.17,3752.17,3751.83,3750.00,3754.00,3753.00,3758.00,3754.00,
9.996V,3946.83,3952.00,3954.00,3949.17,3954.67,3953.33,3944.17,3955.33,3944.00,3950.00,3949.17,3947.33,3951.00,3951.00,3956.00,3951.33,
10.496V,4095.00,4095.00,4095.00,4095.00,4095.00,4095.00,4095.00,4095.00,4095.00,4095.00,4095.00,4095.00,4095.00,4095.00,4095.00,4095.00,
